Specie,Transporter,TC number,Family,Target sugar,Description,Status,Source ID (NCBI)
Cylindrospermopsis raciborskii C03,sugar abc transporter,3.A.1.1,ABC,broad specificity,sugar ABC transporter permease [Cylindrospermopsis raciborskii C03],🟢 Confirmed,PNJ95928.1
Cylindrospermopsis raciborskii C03,sugar abc transporter,3.A.1.1,ABC,broad specificity,sugar ABC transporter ATP-binding protein [Cylindrospermopsis raciborskii C03],🟢 Confirmed,PNJ95908.1
Cylindrospermopsis raciborskii C04,sugar abc transporter,3.A.1.1,ABC,broad specificity,sugar ABC transporter ATP-binding protein [Cylindrospermopsis raciborskii C04],🟢 Confirmed,PNJ95547.1
Cylindrospermopsis raciborskii C04,sugar abc transporter,3.A.1.1,ABC,broad specificity,sugar ABC transporter [Cylindrospermopsis raciborskii C04],🟢 Confirmed,PNJ95546.1
Cylindrospermopsis raciborskii C04,sugar abc transporter,3.A.1.1,ABC,broad specificity,sugar ABC transporter permease [Cylindrospermopsis raciborskii C04],🟢 Confirmed,PNJ95545.1
Cylindrospermopsis raciborskii C03,sugar abc transporter,3.A.1.1,ABC,broad specificity,sugar ABC transporter permease [Cylindrospermopsis raciborskii C03],🟢 Confirmed,PNJ93456.1
Cylindrospermopsis raciborskii C03,sugar abc transporter,3.A.1.1,ABC,broad specificity,sugar ABC transporter [Cylindrospermopsis raciborskii C03],🟢 Confirmed,PNJ93455.1
Cylindrospermopsis raciborskii C03,sugar abc transporter,3.A.1.1,ABC,broad specificity,sugar ABC transporter ATP-binding protein [Cylindrospermopsis raciborskii C03],🟢 Confirmed,PNJ93454.1
Cylindrospermopsis raciborskii C07,sugar abc transporter,3.A.1.1,ABC,broad specificity,sugar ABC transporter ATP-binding protein [Cylindrospermopsis raciborskii C07],🟢 Confirmed,PNJ93215.1
Cylindrospermopsis raciborskii C07,sugar abc transporter,3.A.1.1,ABC,broad specificity,sugar ABC transporter [Cylindrospermopsis raciborskii C07],🟢 Confirmed,PNJ93214.1
Cylindrospermopsis raciborskii C07,sugar abc transporter,3.A.1.1,ABC,broad specificity,sugar ABC transporter permease [Cylindrospermopsis raciborskii C07],🟢 Confirmed,PNJ93213.1
Cylindrospermopsis raciborskii C03,sugar abc transporter,3.A.1.1,ABC,broad specificity,sugar ABC transporter permease [Cylindrospermopsis raciborskii C03],🟢 Confirmed,PNJ91746.1
Cylindrospermopsis raciborskii C07,sugar abc transporter,3.A.1.1,ABC,broad specificity,sugar ABC transporter permease [Cylindrospermopsis raciborskii C07],🟢 Confirmed,PNJ91474.1
Cylindrospermopsis raciborskii C04,sugar abc transporter,3.A.1.1,ABC,broad specificity,sugar ABC transporter ATP-binding protein [Cylindrospermopsis raciborskii C04],🟢 Confirmed,PNJ91112.1
Cylindrospermopsis raciborskii C03,sugar abc transporter,3.A.1.1,ABC,broad specificity,sugar ABC transporter ATP-binding protein [Cylindrospermopsis raciborskii C03],🟢 Confirmed,PNJ90652.1
Fischerella thermalis CCMEE 5201,sugar abc transporter,3.A.1.1,ABC,broad specificity,sugar ABC transporter permease [Fischerella thermalis CCMEE 5201],🟢 Confirmed,PMB53931.1
Fischerella thermalis CCMEE 5201,sugar abc transporter,3.A.1.1,ABC,broad specificity,sugar ABC transporter ATP-binding protein [Fischerella thermalis CCMEE 5201],🟢 Confirmed,PMB53517.1
Fischerella thermalis CCMEE 5201,sugar abc transporter,3.A.1.1,ABC,broad specificity,sugar ABC transporter permease [Fischerella thermalis CCMEE 5201],🟢 Confirmed,PMB52860.1
Fischerella thermalis CCMEE 5201,sugar abc transporter,3.A.1.1,ABC,broad specificity,sugar ABC transporter permease [Fischerella thermalis CCMEE 5201],🟢 Confirmed,PMB52691.1
Fischerella thermalis CCMEE 5201,sugar abc transporter,3.A.1.1,ABC,broad specificity,sugar ABC transporter ATP-binding protein [Fischerella thermalis CCMEE 5201],🟢 Confirmed,PMB52135.1
Fischerella thermalis CCMEE 5201,sugar abc transporter,3.A.1.1,ABC,broad specificity,sugar ABC transporter permease [Fischerella thermalis CCMEE 5201],🟢 Confirmed,PMB51668.1
Fischerella thermalis CCMEE 5201,sugar abc transporter,3.A.1.1,ABC,broad specificity,sugar ABC transporter permease [Fischerella thermalis CCMEE 5201],🟢 Confirmed,PMB51627.1
Fischerella thermalis CCMEE 5201,sugar abc transporter,3.A.1.1,ABC,broad specificity,sugar ABC transporter [Fischerella thermalis CCMEE 5201],🟢 Confirmed,PMB50869.1
Fischerella thermalis CCMEE 5201,sugar abc transporter,3.A.1.1,ABC,broad specificity,sugar ABC transporter ATP-binding protein [Fischerella thermalis CCMEE 5201],🟢 Confirmed,PMB50868.1
Fischerella thermalis CCMEE 5201,sugar abc transporter,3.A.1.1,ABC,broad specificity,sugar ABC transporter permease [Fischerella thermalis CCMEE 5201],🟢 Confirmed,PMB50784.1
Fischerella thermalis CCMEE 5205,sugar abc transporter,3.A.1.1,ABC,broad specificity,sugar ABC transporter permease [Fischerella thermalis CCMEE 5205],🟢 Confirmed,PMB50586.1
Fischerella thermalis CCMEE 5330,sugar abc transporter,3.A.1.1,ABC,broad specificity,sugar ABC transporter substrate-binding protein [Fischerella thermalis CCMEE 5330],🟢 Confirmed,PMB47589.1
Fischerella thermalis CCMEE 5330,sugar abc transporter,3.A.1.1,ABC,broad specificity,sugar ABC transporter permease [Fischerella thermalis CCMEE 5330],🟢 Confirmed,PMB46883.1
Fischerella thermalis CCMEE 5330,sugar abc transporter,3.A.1.1,ABC,broad specificity,sugar ABC transporter permease [Fischerella thermalis CCMEE 5330],🟢 Confirmed,PMB45822.1
Fischerella thermalis CCMEE 5205,sugar abc transporter,3.A.1.1,ABC,broad specificity,sugar ABC transporter ATP-binding protein [Fischerella thermalis CCMEE 5205],🟢 Confirmed,PMB45582.1
Fischerella thermalis CCMEE 5205,sugar abc transporter,3.A.1.1,ABC,broad specificity,sugar ABC transporter [Fischerella thermalis CCMEE 5205],🟢 Confirmed,PMB45581.1
Fischerella thermalis CCMEE 5201,sugar abc transporter,3.A.1.1,ABC,broad specificity,sugar ABC transporter substrate-binding protein [Fischerella thermalis CCMEE 5201],🟢 Confirmed,PMB45414.1
Fischerella thermalis CCMEE 5205,sugar abc transporter,3.A.1.1,ABC,broad specificity,sugar ABC transporter ATP-binding protein [Fischerella thermalis CCMEE 5205],🟢 Confirmed,PMB45018.1
Fischerella thermalis CCMEE 5330,sugar abc transporter,3.A.1.1,ABC,broad specificity,sugar ABC transporter permease [Fischerella thermalis CCMEE 5330],🟢 Confirmed,PMB44923.1
Fischerella thermalis CCMEE 5205,sugar abc transporter,3.A.1.1,ABC,broad specificity,sugar ABC transporter permease [Fischerella thermalis CCMEE 5205],🟢 Confirmed,PMB44646.1
Fischerella thermalis CCMEE 5330,sugar abc transporter,3.A.1.1,ABC,broad specificity,sugar ABC transporter permease [Fischerella thermalis CCMEE 5330],🟢 Confirmed,PMB44427.1
