Specie,Enzyme,EC number,Target sugar,Description,Status,Source ID (NCBI),Origin
unclassified Microcoleus,alpha-amylase,3.2.1.1,starch,MULTISPECIES: alpha-amylase family glycosyl hydrolase [unclassified Microcoleus],🟢 Confirmed,WP_333301913.1,Organism: unclassified Microcoleus | Db xref: taxon:2642155
unclassified Microcoleus,alpha-amylase,3.2.1.1,starch,MULTISPECIES: alpha-amylase family glycosyl hydrolase [unclassified Microcoleus],🟢 Confirmed,WP_333301682.1,Organism: unclassified Microcoleus | Db xref: taxon:2642155
unclassified Microcoleus,alpha-amylase,3.2.1.1,starch,MULTISPECIES: alpha-amylase [unclassified Microcoleus],🟢 Confirmed,WP_333296820.1,Organism: unclassified Microcoleus | Db xref: taxon:2642155
unclassified Microcoleus,alpha-amylase,3.2.1.1,starch,MULTISPECIES: alpha-amylase [unclassified Microcoleus],🟢 Confirmed,WP_333291129.1,Organism: unclassified Microcoleus | Db xref: taxon:2642155
unclassified Microcoleus,alpha-amylase,3.2.1.1,starch,MULTISPECIES: alpha-amylase family protein [unclassified Microcoleus],🟢 Confirmed,WP_333290945.1,Organism: unclassified Microcoleus | Db xref: taxon:2642155
Microcoleus sp. D2_18a_B4,alpha-amylase,3.2.1.1,starch,alpha-amylase family protein [Microcoleus sp. D2_18a_B4],🟢 Confirmed,WP_333289665.1,Organism: Microcoleus sp. D2_18a_B4 | Db xref: taxon:3055329
Microcoleus sp. D2_18a_B4,alpha-amylase,3.2.1.1,starch,alpha-amylase [Microcoleus sp. D2_18a_B4],🟢 Confirmed,WP_333284159.1,Organism: Microcoleus sp. D2_18a_B4 | Db xref: taxon:3055329
Microcoleus sp. D3_18_C2,alpha-amylase,3.2.1.1,starch,alpha-amylase family protein [Microcoleus sp. D3_18_C2],🟢 Confirmed,WP_333270915.1,Organism: Microcoleus sp. D3_18_C2 | Db xref: taxon:3055334
unclassified Microcoleus,alpha-amylase,3.2.1.1,starch,MULTISPECIES: alpha-amylase [unclassified Microcoleus],🟢 Confirmed,WP_333262707.1,Organism: unclassified Microcoleus | Db xref: taxon:2642155
unclassified Microcoleus,alpha-amylase,3.2.1.1,starch,MULTISPECIES: alpha-amylase family protein [unclassified Microcoleus],🟢 Confirmed,WP_333248154.1,Organism: unclassified Microcoleus | Db xref: taxon:2642155
unclassified Microcoleus,alpha-amylase,3.2.1.1,starch,MULTISPECIES: alpha-amylase family protein [unclassified Microcoleus],🟢 Confirmed,WP_333246776.1,Organism: unclassified Microcoleus | Db xref: taxon:2642155
unclassified Microcoleus,alpha-amylase,3.2.1.1,starch,MULTISPECIES: alpha-amylase [unclassified Microcoleus],🟢 Confirmed,WP_333243841.1,Organism: unclassified Microcoleus | Db xref: taxon:2642155
unclassified Microcoleus,alpha-amylase,3.2.1.1,starch,MULTISPECIES: alpha-amylase [unclassified Microcoleus],🟢 Confirmed,WP_333242783.1,Organism: unclassified Microcoleus | Db xref: taxon:2642155
unclassified Microcoleus,alpha-amylase,3.2.1.1,starch,MULTISPECIES: alpha-amylase family protein [unclassified Microcoleus],🟢 Confirmed,WP_333240840.1,Organism: unclassified Microcoleus | Db xref: taxon:2642155
unclassified Microcoleus,alpha-amylase,3.2.1.1,starch,MULTISPECIES: alpha-amylase family glycosyl hydrolase [unclassified Microcoleus],🟢 Confirmed,WP_333240156.1,Organism: unclassified Microcoleus | Db xref: taxon:2642155
Microcoleus sp. BR0-C5,alpha-amylase,3.2.1.1,starch,alpha-amylase [Microcoleus sp. BR0-C5],🟢 Confirmed,WP_333227644.1,Organism: Microcoleus sp. BR0-C5 | Db xref: taxon:2818713
Microcoleus sp. BR0-C5,alpha-amylase,3.2.1.1,starch,alpha-amylase family protein [Microcoleus sp. BR0-C5],🟢 Confirmed,WP_333224473.1,Organism: Microcoleus sp. BR0-C5 | Db xref: taxon:2818713
Microcoleus sp. Pol12A5,alpha-amylase,3.2.1.1,starch,alpha-amylase [Microcoleus sp. Pol12A5],🟢 Confirmed,WP_333222662.1,Organism: Microcoleus sp. Pol12A5 | Db xref: taxon:3055392
Microcoleus sp. Pol12A5,alpha-amylase,3.2.1.1,starch,alpha-amylase [Microcoleus sp. Pol12A5],🟢 Confirmed,WP_333221723.1,Organism: Microcoleus sp. Pol12A5 | Db xref: taxon:3055392
Microcoleus sp. S36b_A4,alpha-amylase,3.2.1.1,starch,alpha-amylase family protein [Microcoleus sp. S36b_A4],🟢 Confirmed,WP_333213263.1,Organism: Microcoleus sp. S36b_A4 | Db xref: taxon:3055420
unclassified Microcoleus,alpha-amylase,3.2.1.1,starch,MULTISPECIES: alpha-amylase family protein [unclassified Microcoleus],🟢 Confirmed,WP_333207301.1,Organism: unclassified Microcoleus | Db xref: taxon:2642155
unclassified Microcoleus,alpha-amylase,3.2.1.1,starch,MULTISPECIES: alpha-amylase [unclassified Microcoleus],🟢 Confirmed,WP_333206754.1,Organism: unclassified Microcoleus | Db xref: taxon:2642155
unclassified Microcoleus,alpha-amylase,3.2.1.1,starch,MULTISPECIES: alpha-amylase family glycosyl hydrolase [unclassified Microcoleus],🟢 Confirmed,WP_333203143.1,Organism: unclassified Microcoleus | Db xref: taxon:2642155
Microcoleus sp. Pol7_A1,alpha-amylase,3.2.1.1,starch,alpha-amylase [Microcoleus sp. Pol7_A1],🟢 Confirmed,WP_333194164.1,Organism: Microcoleus sp. Pol7_A1 | Db xref: taxon:2818893
Microcoleus sp. Pol12A4,alpha-amylase,3.2.1.1,starch,alpha-amylase [Microcoleus sp. Pol12A4],🟢 Confirmed,WP_333169683.1,Organism: Microcoleus sp. Pol12A4 | Db xref: taxon:3055391
Microcoleus sp. Pol12B4,alpha-amylase,3.2.1.1,starch,alpha-amylase [Microcoleus sp. Pol12B4],🟢 Confirmed,WP_333167713.1,Organism: Microcoleus sp. Pol12B4 | Db xref: taxon:3055395
unclassified Microcoleus,alpha-amylase,3.2.1.1,starch,MULTISPECIES: alpha-amylase [unclassified Microcoleus],🟢 Confirmed,WP_333166124.1,Organism: unclassified Microcoleus | Db xref: taxon:2642155
Microcoleus sp. Pol12B4,alpha-amylase,3.2.1.1,starch,alpha-amylase [Microcoleus sp. Pol12B4],🟢 Confirmed,WP_333160134.1,Organism: Microcoleus sp. Pol12B4 | Db xref: taxon:3055395
Microcoleus sp. B9-D4,alpha-amylase,3.2.1.1,starch,alpha-amylase family protein [Microcoleus sp. B9-D4],🟢 Confirmed,WP_333157027.1,Organism: Microcoleus sp. B9-D4 | Db xref: taxon:2818711
Microcoleus sp. B9-D4,alpha-amylase,3.2.1.1,starch,alpha-amylase [Microcoleus sp. B9-D4],🟢 Confirmed,WP_333151287.1,Organism: Microcoleus sp. B9-D4 | Db xref: taxon:2818711
Microcoleus sp. Pol11C2,alpha-amylase,3.2.1.1,starch,alpha-amylase [Microcoleus sp. Pol11C2],🟢 Confirmed,WP_333141758.1,Organism: Microcoleus sp. Pol11C2 | Db xref: taxon:3055389
Microcoleus sp. Pol11C2,alpha-amylase,3.2.1.1,starch,alpha-amylase [Microcoleus sp. Pol11C2],🟢 Confirmed,WP_333138553.1,Organism: Microcoleus sp. Pol11C2 | Db xref: taxon:3055389
Microcoleus sp. Pol11C2,alpha-amylase,3.2.1.1,starch,alpha-amylase family protein [Microcoleus sp. Pol11C2],🟢 Confirmed,WP_333137443.1,Organism: Microcoleus sp. Pol11C2 | Db xref: taxon:3055389
Microcoleus sp. Pol11C3,alpha-amylase,3.2.1.1,starch,alpha-amylase [Microcoleus sp. Pol11C3],🟢 Confirmed,WP_333131732.1,Organism: Microcoleus sp. Pol11C3 | Db xref: taxon:3055390
unclassified Microcoleus,alpha-amylase,3.2.1.1,starch,MULTISPECIES: alpha-amylase [unclassified Microcoleus],🟢 Confirmed,WP_333099600.1,Organism: unclassified Microcoleus | Db xref: taxon:2642155
unclassified Microcoleus,alpha-amylase,3.2.1.1,starch,MULTISPECIES: alpha-amylase [unclassified Microcoleus],🟢 Confirmed,WP_333064190.1,Organism: unclassified Microcoleus | Db xref: taxon:2642155
unclassified Microcoleus,alpha-amylase,3.2.1.1,starch,MULTISPECIES: alpha-amylase [unclassified Microcoleus],🟢 Confirmed,WP_333061942.1,Organism: unclassified Microcoleus | Db xref: taxon:2642155
unclassified Microcoleus,alpha-amylase,3.2.1.1,starch,MULTISPECIES: alpha-amylase family glycosyl hydrolase [unclassified Microcoleus],🟢 Confirmed,WP_333061859.1,Organism: unclassified Microcoleus | Db xref: taxon:2642155
unclassified Microcoleus,alpha-amylase,3.2.1.1,starch,MULTISPECIES: alpha-amylase family protein [unclassified Microcoleus],🟢 Confirmed,WP_333059778.1,Organism: unclassified Microcoleus | Db xref: taxon:2642155
Microcoleus sp. S13C4,alpha-amylase,3.2.1.1,starch,alpha-amylase [Microcoleus sp. S13C4],🟢 Confirmed,WP_333049623.1,Organism: Microcoleus sp. S13C4 | Db xref: taxon:3055410
Microcoleus sp. S13C4,alpha-amylase,3.2.1.1,starch,alpha-amylase family glycosyl hydrolase [Microcoleus sp. S13C4],🟢 Confirmed,WP_333045670.1,Organism: Microcoleus sp. S13C4 | Db xref: taxon:3055410
Microcoleus sp. S13C4,alpha-amylase,3.2.1.1,starch,alpha-amylase family glycosyl hydrolase [Microcoleus sp. S13C4],🟢 Confirmed,WP_333045599.1,Organism: Microcoleus sp. S13C4 | Db xref: taxon:3055410
Microcoleus sp. OTE_8_concoct_300,alpha-amylase,3.2.1.1,starch,alpha-amylase family protein [Microcoleus sp. OTE_8_concoct_300],🟢 Confirmed,WP_445246742.1,Organism: Microcoleus sp. OTE_8_concoct_300 | Db xref: taxon:2964710
Microcoleus vaginatus,alpha-amylase,3.2.1.1,starch,alpha-amylase [Microcoleus vaginatus],🟢 Confirmed,WP_445241676.1,Organism: Microcoleus vaginatus | Db xref: taxon:119532
Microcoleus vaginatus,alpha-amylase,3.2.1.1,starch,alpha-amylase [Microcoleus vaginatus],🟢 Confirmed,WP_445240331.1,Organism: Microcoleus vaginatus | Db xref: taxon:119532
Microcoleus vaginatus,alpha-amylase,3.2.1.1,starch,alpha-amylase family glycosyl hydrolase [Microcoleus vaginatus],🟢 Confirmed,WP_445240312.1,Organism: Microcoleus vaginatus | Db xref: taxon:119532
Microcoleus vaginatus,alpha-amylase,3.2.1.1,starch,alpha-amylase family protein [Microcoleus vaginatus],🟢 Confirmed,WP_445240189.1,Organism: Microcoleus vaginatus | Db xref: taxon:119532
Microcoleus sp. D2_18a_D3,alpha-amylase,3.2.1.1,starch,alpha-amylase [Microcoleus sp. D2_18a_D3],🟢 Confirmed,WP_333438424.1,Organism: Microcoleus sp. D2_18a_D3 | Db xref: taxon:3055330
Microcoleus sp. D2_18a_D3,alpha-amylase,3.2.1.1,starch,alpha-amylase family protein [Microcoleus sp. D2_18a_D3],🟢 Confirmed,WP_333434621.1,Organism: Microcoleus sp. D2_18a_D3 | Db xref: taxon:3055330
Microcoleus sp. D2_18a_D3,alpha-amylase,3.2.1.1,starch,alpha-amylase [Microcoleus sp. D2_18a_D3],🟢 Confirmed,WP_333434334.1,Organism: Microcoleus sp. D2_18a_D3 | Db xref: taxon:3055330
Microcoleus sp. POL10_C6,alpha-amylase,3.2.1.1,starch,alpha-amylase [Microcoleus sp. POL10_C6],🟢 Confirmed,WP_333390838.1,Organism: Microcoleus sp. POL10_C6 | Db xref: taxon:2818852
Microcoleus sp. POL10_C6,alpha-amylase,3.2.1.1,starch,alpha-amylase [Microcoleus sp. POL10_C6],🟢 Confirmed,WP_333390399.1,Organism: Microcoleus sp. POL10_C6 | Db xref: taxon:2818852
Microcoleus sp. POL10_C6,alpha-amylase,3.2.1.1,starch,alpha-amylase family protein [Microcoleus sp. POL10_C6],🟢 Confirmed,WP_333385066.1,Organism: Microcoleus sp. POL10_C6 | Db xref: taxon:2818852
Microcoleus sp. N3A4,alpha-amylase,3.2.1.1,starch,alpha-amylase [Microcoleus sp. N3A4],🟢 Confirmed,WP_333361250.1,Organism: Microcoleus sp. N3A4 | Db xref: taxon:3055379
Microcoleus sp. D3_18a_C4,alpha-amylase,3.2.1.1,starch,alpha-amylase family protein [Microcoleus sp. D3_18a_C4],🟢 Confirmed,WP_333321629.1,Organism: Microcoleus sp. D3_18a_C4 | Db xref: taxon:3055332
Microcoleus sp. MON1_C5,alpha-amylase,3.2.1.1,starch,alpha-amylase [Microcoleus sp. MON1_C5],🟢 Confirmed,WP_333288622.1,Organism: Microcoleus sp. MON1_C5 | Db xref: taxon:2818828
Microcoleus sp. MON1_C5,alpha-amylase,3.2.1.1,starch,alpha-amylase family protein [Microcoleus sp. MON1_C5],🟢 Confirmed,WP_333281873.1,Organism: Microcoleus sp. MON1_C5 | Db xref: taxon:2818828
Microcoleus sp. MON1_C5,alpha-amylase,3.2.1.1,starch,alpha-amylase family glycosyl hydrolase [Microcoleus sp. MON1_C5],🟢 Confirmed,WP_333280760.1,Organism: Microcoleus sp. MON1_C5 | Db xref: taxon:2818828
Microcoleus sp. S13_C5,alpha-amylase,3.2.1.1,starch,alpha-amylase [Microcoleus sp. S13_C5],🟢 Confirmed,WP_333261520.1,Organism: Microcoleus sp. S13_C5 | Db xref: taxon:3055411
Microcoleus sp. S13_C5,alpha-amylase,3.2.1.1,starch,alpha-amylase [Microcoleus sp. S13_C5],🟢 Confirmed,WP_333261390.1,Organism: Microcoleus sp. S13_C5 | Db xref: taxon:3055411
Microcoleus sp. S13_C5,alpha-amylase,3.2.1.1,starch,alpha-amylase family glycosyl hydrolase [Microcoleus sp. S13_C5],🟢 Confirmed,WP_333260183.1,Organism: Microcoleus sp. S13_C5 | Db xref: taxon:3055411
unclassified Microcoleus,alpha-amylase,3.2.1.1,starch,MULTISPECIES: alpha-amylase [unclassified Microcoleus],🟢 Confirmed,WP_333259834.1,Organism: unclassified Microcoleus | Db xref: taxon:2642155
unclassified Microcoleus,alpha-amylase,3.2.1.1,starch,MULTISPECIES: alpha-amylase family protein [unclassified Microcoleus],🟢 Confirmed,WP_333259298.1,Organism: unclassified Microcoleus | Db xref: taxon:2642155
Microcoleus sp. Pol12B5,alpha-amylase,3.2.1.1,starch,alpha-amylase family glycosyl hydrolase [Microcoleus sp. Pol12B5],🟢 Confirmed,WP_333233464.1,Organism: Microcoleus sp. Pol12B5 | Db xref: taxon:3055396
Microcoleus sp. Pol12B5,alpha-amylase,3.2.1.1,starch,alpha-amylase [Microcoleus sp. Pol12B5],🟢 Confirmed,WP_333233386.1,Organism: Microcoleus sp. Pol12B5 | Db xref: taxon:3055396
Microcoleus sp. Pol12B5,alpha-amylase,3.2.1.1,starch,alpha-amylase family glycosyl hydrolase [Microcoleus sp. Pol12B5],🟢 Confirmed,WP_333229582.1,Organism: Microcoleus sp. Pol12B5 | Db xref: taxon:3055396
Microcoleus sp. Pol12B5,alpha-amylase,3.2.1.1,starch,alpha-amylase family protein [Microcoleus sp. Pol12B5],🟢 Confirmed,WP_333226473.1,Organism: Microcoleus sp. Pol12B5 | Db xref: taxon:3055396
unclassified Microcoleus,alpha-amylase,3.2.1.1,starch,MULTISPECIES: alpha-amylase family protein [unclassified Microcoleus],🟢 Confirmed,WP_333219210.1,Organism: unclassified Microcoleus | Db xref: taxon:2642155
unclassified Microcoleus,alpha-amylase,3.2.1.1,starch,MULTISPECIES: alpha-amylase [unclassified Microcoleus],🟢 Confirmed,WP_333218480.1,Organism: unclassified Microcoleus | Db xref: taxon:2642155
unclassified Microcoleus,alpha-amylase,3.2.1.1,starch,MULTISPECIES: alpha-amylase family glycosyl hydrolase [unclassified Microcoleus],🟢 Confirmed,WP_333217185.1,Organism: unclassified Microcoleus | Db xref: taxon:2642155
unclassified Microcoleus,alpha-amylase,3.2.1.1,starch,MULTISPECIES: alpha-amylase family protein [unclassified Microcoleus],🟢 Confirmed,WP_333211183.1,Organism: unclassified Microcoleus | Db xref: taxon:2642155
Microcoleus sp. S28C3,alpha-amylase,3.2.1.1,starch,alpha-amylase family glycosyl hydrolase [Microcoleus sp. S28C3],🟢 Confirmed,WP_333199161.1,Organism: Microcoleus sp. S28C3 | Db xref: taxon:3055414
Microcoleus sp. B3-D7,alpha-amylase,3.2.1.1,starch,alpha-amylase [Microcoleus sp. B3-D7],🟢 Confirmed,WP_333185000.1,Organism: Microcoleus sp. B3-D7 | Db xref: taxon:2818659
Microcoleus sp. B3-D7,alpha-amylase,3.2.1.1,starch,alpha-amylase family protein [Microcoleus sp. B3-D7],🟢 Confirmed,WP_333183890.1,Organism: Microcoleus sp. B3-D7 | Db xref: taxon:2818659
Microcoleus sp. B3-D7,alpha-amylase,3.2.1.1,starch,alpha-amylase [Microcoleus sp. B3-D7],🟢 Confirmed,WP_333183166.1,Organism: Microcoleus sp. B3-D7 | Db xref: taxon:2818659
Microcoleus sp. S13_B4,alpha-amylase,3.2.1.1,starch,alpha-amylase [Microcoleus sp. S13_B4],🟢 Confirmed,WP_333178235.1,Organism: Microcoleus sp. S13_B4 | Db xref: taxon:3055408
Microcoleus sp. S13_B4,alpha-amylase,3.2.1.1,starch,alpha-amylase family glycosyl hydrolase [Microcoleus sp. S13_B4],🟢 Confirmed,WP_333176446.1,Organism: Microcoleus sp. S13_B4 | Db xref: taxon:3055408
Microcoleus sp. S13_B4,alpha-amylase,3.2.1.1,starch,alpha-amylase [Microcoleus sp. S13_B4],🟢 Confirmed,WP_333175638.1,Organism: Microcoleus sp. S13_B4 | Db xref: taxon:3055408
unclassified Microcoleus,alpha-amylase,3.2.1.1,starch,MULTISPECIES: alpha-amylase family protein [unclassified Microcoleus],🟢 Confirmed,WP_333174199.1,Organism: unclassified Microcoleus | Db xref: taxon:2642155
unclassified Microcoleus,alpha-amylase,3.2.1.1,starch,MULTISPECIES: alpha-amylase [unclassified Microcoleus],🟢 Confirmed,WP_333172110.1,Organism: unclassified Microcoleus | Db xref: taxon:2642155
unclassified Microcoleus,alpha-amylase,3.2.1.1,starch,MULTISPECIES: alpha-amylase family glycosyl hydrolase [unclassified Microcoleus],🟢 Confirmed,WP_333152658.1,Organism: unclassified Microcoleus | Db xref: taxon:2642155
unclassified Microcoleus,alpha-amylase,3.2.1.1,starch,MULTISPECIES: alpha-amylase [unclassified Microcoleus],🟢 Confirmed,WP_333150529.1,Organism: unclassified Microcoleus | Db xref: taxon:2642155
unclassified Microcoleus,alpha-amylase,3.2.1.1,starch,MULTISPECIES: alpha-amylase family glycosyl hydrolase [unclassified Microcoleus],🟢 Confirmed,WP_333148987.1,Organism: unclassified Microcoleus | Db xref: taxon:2642155
unclassified Microcoleus,alpha-amylase,3.2.1.1,starch,MULTISPECIES: alpha-amylase family glycosyl hydrolase [unclassified Microcoleus],🟢 Confirmed,WP_333147455.1,Organism: unclassified Microcoleus | Db xref: taxon:2642155
unclassified Microcoleus,alpha-amylase,3.2.1.1,starch,MULTISPECIES: alpha-amylase [unclassified Microcoleus],🟢 Confirmed,WP_333147247.1,Organism: unclassified Microcoleus | Db xref: taxon:2642155
unclassified Microcoleus,alpha-amylase,3.2.1.1,starch,MULTISPECIES: alpha-amylase family protein [unclassified Microcoleus],🟢 Confirmed,WP_333144362.1,Organism: unclassified Microcoleus | Db xref: taxon:2642155
unclassified Microcoleus,alpha-amylase,3.2.1.1,starch,MULTISPECIES: alpha-amylase [unclassified Microcoleus],🟢 Confirmed,WP_333143149.1,Organism: unclassified Microcoleus | Db xref: taxon:2642155
unclassified Microcoleus,alpha-amylase,3.2.1.1,starch,MULTISPECIES: alpha-amylase [unclassified Microcoleus],🟢 Confirmed,WP_333085424.1,Organism: unclassified Microcoleus | Db xref: taxon:2642155
unclassified Microcoleus,alpha-amylase,3.2.1.1,starch,MULTISPECIES: alpha-amylase family protein [unclassified Microcoleus],🟢 Confirmed,WP_333081829.1,Organism: unclassified Microcoleus | Db xref: taxon:2642155
Microcoleus sp. AR_TQ3_B6,alpha-amylase,3.2.1.1,starch,alpha-amylase [Microcoleus sp. AR_TQ3_B6],🟢 Confirmed,WP_332958720.1,Organism: Microcoleus sp. AR_TQ3_B6 | Db xref: taxon:3055284
Microcoleus sp. AR_TQ3_B6,alpha-amylase,3.2.1.1,starch,alpha-amylase family glycosyl hydrolase [Microcoleus sp. AR_TQ3_B6],🟢 Confirmed,WP_332955276.1,Organism: Microcoleus sp. AR_TQ3_B6 | Db xref: taxon:3055284
Microcoleus vaginatus,alpha-amylase,3.2.1.1,starch,alpha-amylase family protein [Microcoleus vaginatus],🟢 Confirmed,WP_242719557.1,Organism: Microcoleus vaginatus | Db xref: taxon:119532
Microcoleus vaginatus,alpha-amylase,3.2.1.1,starch,alpha-amylase family glycosyl hydrolase [Microcoleus vaginatus],🟢 Confirmed,WP_242716747.1,Organism: Microcoleus vaginatus | Db xref: taxon:119532
Microcoleus vaginatus,alpha-amylase,3.2.1.1,starch,alpha-amylase [Microcoleus vaginatus],🟢 Confirmed,WP_242716617.1,Organism: Microcoleus vaginatus | Db xref: taxon:119532
Microcoleus vaginatus,alpha-amylase,3.2.1.1,starch,alpha-amylase family protein [Microcoleus vaginatus],🟢 Confirmed,WP_006635069.1,Organism: Microcoleus vaginatus | Db xref: taxon:119532
Microcoleus vaginatus,alpha-amylase,3.2.1.1,starch,alpha-amylase family glycosyl hydrolase [Microcoleus vaginatus],🟢 Confirmed,WP_006632726.1,Organism: Microcoleus vaginatus | Db xref: taxon:119532
Microcoleus vaginatus,alpha-amylase,3.2.1.1,starch,alpha-amylase [Microcoleus vaginatus],🟢 Confirmed,WP_006632663.1,Organism: Microcoleus vaginatus | Db xref: taxon:119532
Microcoleus vaginatus,alpha-amylase,3.2.1.1,starch,alpha-amylase [Microcoleus vaginatus],🟢 Confirmed,WP_006631667.1,Organism: Microcoleus vaginatus | Db xref: taxon:119532
Microcoleus sp.,alpha-amylase,3.2.1.1,starch,alpha-amylase [Microcoleus sp.],🟢 Confirmed,WP_445176641.1,Organism: Microcoleus sp. | Db xref: taxon:44472
Nostoc sp.,alpha-amylase,3.2.1.1,starch,alpha-amylase family glycosyl hydrolase [Nostoc sp.],🟢 Confirmed,WP_442940687.1,Organism: Nostoc sp. | Db xref: taxon:1180
Microcoleus sp.,alpha-amylase,3.2.1.1,starch,MAG: alpha-amylase [Microcoleus sp.],🟢 Confirmed,XZO00483.1,Organism: Microcoleus sp. | Isolate: GLPA | Isolation source: lake cyanobacterial mat | Db xref: taxon:44472 | Environmental sample:  | Geo loc name: Canada: Nova Scotia | Lat lon: 44.90 N 63.58 W | Collection date: 2022-05-03 | Metagenome source: Microcoleus mat metagenome | Note: metagenomic
Microcoleus sp.,alpha-amylase,3.2.1.1,starch,MAG: alpha-amylase [Microcoleus sp.],🟢 Confirmed,XZN98358.1,Organism: Microcoleus sp. | Isolate: GLPC | Isolation source: lake cyanobacterial mat | Db xref: taxon:44472 | Environmental sample:  | Geo loc name: Canada: Nova Scotia | Lat lon: 44.90 N 63.58 W | Collection date: 2022-05-03 | Metagenome source: Microcoleus mat metagenome | Note: metagenomic
Microcoleus sp.,alpha-amylase,3.2.1.1,starch,MAG: alpha-amylase [Microcoleus sp.],🟢 Confirmed,XZN92143.1,Organism: Microcoleus sp. | Isolate: GLPB | Isolation source: lake cyanobacterial mat | Db xref: taxon:44472 | Environmental sample:  | Geo loc name: Canada: Nova Scotia | Lat lon: 44.90 N 63.58 W | Collection date: 2022-05-03 | Metagenome source: Microcoleus mat metagenome | Note: metagenomic
Gloeotrichia echinulata DVL01,alpha-amylase,3.2.1.1,starch,MAG: alpha-amylase family glycosyl hydrolase [Gloeotrichia echinulata DVL01],🟢 Confirmed,XZF63892.1,"Organism: Gloeotrichia echinulata DVL01 | Isolate: DVL01 | Isolation source: freshwater colonies concentrated on 300uM mesh | Db xref: taxon:3447499 | Environmental sample:  | Geo loc name: USA: Diamond Valley Lake, California | Lat lon: 33.68699066 N 117.00684874 W | Collection date: 2025-06-09 | Metagenome source: freshwater metagenome | Note: metagenomic"
Tumidithrix helvetica,alpha-amylase,3.2.1.1,starch,alpha-amylase family glycosyl hydrolase [Tumidithrix helvetica],🟢 Confirmed,WP_425218117.1,Organism: Tumidithrix helvetica | Db xref: taxon:3457545
Tumidithrix helvetica,alpha-amylase,3.2.1.1,starch,alpha-amylase [Tumidithrix helvetica],🟢 Confirmed,WP_425216076.1,Organism: Tumidithrix helvetica | Db xref: taxon:3457545
Thalassoporum mexicanum,alpha-amylase,3.2.1.1,starch,alpha-amylase family glycosyl hydrolase [Thalassoporum mexicanum],🟢 Confirmed,WP_015163520.1,Organism: Thalassoporum mexicanum | Db xref: taxon:3457544
Desertifilum,alpha-amylase,3.2.1.1,starch,MULTISPECIES: alpha-amylase family glycosyl hydrolase [Desertifilum],🟢 Confirmed,WP_069967489.1,Organism: Desertifilum | Db xref: taxon:1185872
Desertifilum,alpha-amylase,3.2.1.1,starch,MULTISPECIES: alpha-amylase [Desertifilum],🟢 Confirmed,WP_069966554.1,Organism: Desertifilum | Db xref: taxon:1185872
Desertifilum,alpha-amylase,3.2.1.1,starch,MULTISPECIES: alpha-amylase family glycosyl hydrolase [Desertifilum],🟢 Confirmed,WP_069965808.1,Organism: Desertifilum | Db xref: taxon:1185872
Vacuolonema iberomarrocanum,alpha-amylase,3.2.1.1,starch,alpha-amylase [Vacuolonema iberomarrocanum],🟢 Confirmed,WP_439344172.1,Organism: Vacuolonema iberomarrocanum | Db xref: taxon:3454632
Vulcanococcus sp.,alpha-amylase,3.2.1.1,starch,alpha-amylase family protein [Vulcanococcus sp.],🟢 Confirmed,WP_438982226.1,Organism: Vulcanococcus sp. | Db xref: taxon:2856995
Anabaena sp. WFMT,alpha-amylase,3.2.1.1,starch,alpha-amylase [Anabaena sp. WFMT],🟢 Confirmed,WP_438888485.1,Organism: Anabaena sp. WFMT | Db xref: taxon:3449730
Chroococcidiopsis sp.,alpha-amylase,3.2.1.1,starch,alpha-amylase family protein [Chroococcidiopsis sp.],🟢 Confirmed,WP_438552761.1,Organism: Chroococcidiopsis sp. | Db xref: taxon:3088168
Trebouxia sp. C0006,alpha-amylase,3.2.1.1,starch,TPA_asm: Alpha-amylase A type-1/2 [Trebouxia sp. C0006],🟢 Confirmed,DBB17010.1,"Organism: Trebouxia sp. C0006 | Strain: C0006 | Isolation source: cold adapted phycobionat of the lichen Umbilicaria pustulata | Host: Lasallia pustulata | Db xref: taxon:2905655 | Geo loc name: United Kingdom: Scotland, Cullin Hills, Slighan, Carbost, fence near building | Lat lon: 57.289618 N 6.175299 W | Collection date: 2012-09-24"
Trebouxia sp. C0006,alpha-amylase,3.2.1.1,starch,TPA_asm: Alpha-amylase A type-1/2 [Trebouxia sp. C0006],🟢 Confirmed,DBB16357.1,"Organism: Trebouxia sp. C0006 | Strain: C0006 | Isolation source: cold adapted phycobionat of the lichen Umbilicaria pustulata | Host: Lasallia pustulata | Db xref: taxon:2905655 | Geo loc name: United Kingdom: Scotland, Cullin Hills, Slighan, Carbost, fence near building | Lat lon: 57.289618 N 6.175299 W | Collection date: 2012-09-24"
Trebouxia sp. C0006,alpha-amylase,3.2.1.1,starch,"TPA_asm: Alpha-amylase, variant 2 [Trebouxia sp. C0006]",🟢 Confirmed,DBB12755.1,"Organism: Trebouxia sp. C0006 | Strain: C0006 | Isolation source: cold adapted phycobionat of the lichen Umbilicaria pustulata | Host: Lasallia pustulata | Db xref: taxon:2905655 | Geo loc name: United Kingdom: Scotland, Cullin Hills, Slighan, Carbost, fence near building | Lat lon: 57.289618 N 6.175299 W | Collection date: 2012-09-24"
